"","Insult","Comment"
"176",1,"""@Voguette - I'll cut to the chase: You're an idiot. Granted, Duke, Ironman, Nusholtz, and RealityCzech  may be dumber, but you are borderline mentally retarded."""
"180",1,"""shut up same tired comments you suck"""
"182",1,"""And if Cameron said he was not backing Hunt you would all be saying what a traitorous person he was for not backing his minister. You really are all rather pitiable with your rantings. """
"185",1,"""""the cream of the cream"".... wtf are you talking about kg"""
"186",1,"""Don't get out of your cave much, do you."""
"189",1,"""you are truly an idiot. the man pitched a no hitter. just shut up."""
"190",1,"""Why? Are you a hunch back? LOL"""
"192",1,"""You are a complete idiot Robert...Peole like you are why this country is losing freedom every daythis moron (POTUS) is in office..."""
"196",1,"""Like if you have a diploma (of any kind).  Comment if your getting money with that white (coke) and it's MOB (money over bitches) and stop snitchin or Making a rap career."""
"198",1,"""Jimmy...produce ANYTHING of ANY value that ANYONE wants or needs and you'll find SOMEONE willing to trade with you for SOMETHING you want or need.  It's very simple.  Tip of the day: whining is worthless."""
"199",1,"""Pathetic. She should be ashamed of herself. If this is what it takes to get attention then she should go get a real life or crawl back under the rock from which she came."""
"201",1,"""Judging by your prior posts listed in your profile, you are a piece of foul white trash. What kind of animals raised you?"""
"202",1,"""your mom smells like fish"""
"203",1,"""@tttttt5:disqus    You're an idiot. Where did it say anywhere in this article that he was a crooked cop? Oh that's right nowhere..quit being so quick to judge moron."""
"205",1,"""You are some sad pathetic loser donkey."""
"206",1,"""whats a person who makes up stupid handles and trolls internet message boards? - a future star of an episode of Hoarders. maybe give away a dozen or 2 of those cats you have in your moms basement"""
"208",1,"""You weak ass bitch"""
"212",1,"""Good morning... Ugh! *headache* *rolls over in bed and snorts a line, farts, scratch head, roll a joint and lights it up, takes a shot of rum!*Good morning...my worthless little monkeys bickering amongst each other, eating your own faeces while trying to make a pathetic point! Tis a baeutiful day for trolling insn't it? How are you all this wonderful afternoon?"""
"214",1,"""to be quite honest, the platform be it Xbox, ps3 or PC really does not matter just as long as you have a passion for gaming and you enjoy gaming, now STFU stupid fan boys, stop bitching on the internet and get playing games!"""
"215",1,"""Yeah! you are so boring, Teresa forgot about you while making a toast.  LOL boring and fugly hubby."""
"217",1,"""Pathetic Little Man. Cleanse your mind. Take your laxative."""
"219",1,"""You did wear out your welcome.&nbsp;"""
"220",1,"""you are going to go to hell"""
"221",1,"""And you've apparently ""Neva"" been to school"""
"222",1,"""You sir are a complete ignoramus.  """
"223",1,"""QUIT harassing me. I know who you are, just stop. It's pathetic."""
"224",1,"""hell naw i wasn't paying attention to what his fat ass said, get off his dick"""
"225",1,"""FUCK ROSS FUCK SAIGON AND FUCK U BITCH ASS NIGGA WHO THE FUCK CARES ABOUT MUSIC............ITS ART IMITATING LIFE"""
"227",1,"""Look Wilfred Brimley, are you really that stupid... is your diebeetez acting up again... you need to see a professional about the dementia you are suffering from... communist state? That is what you and the rest of the Obamanites have created for the whole country... and for that we salute you with a Number #1 with our middle fingers... the reason that this country is going down the drain is because half of this country is as dumb (I know that is really tough) or dumber (nearly impossible) than you"""
"231",1,"""Screw you Bodine. """
"233",1,"""muthafucka its justin beiber not manny pacquiao. hes a singer not a boxer lilttle white boy doesnt know shit about fighting that was probably his fist time even touch a glove"""
"235",1,"""Lmao no dummy how many times you said bitch please. I realize youre slower than dog shit but at least attemp to keep up lmao"""
"237",1,"""Know who else doesnt seserve respsct? Ignorant, prejudiced, close minded ASSHOLES LIKE YOU PINKIESOUT!"""
"238",1,"""A$AP AUTUMN you stupid bitch it's about countries not states"""
"240",1,"""you're an idiot. Just stop now."""
"242",1,"""you are not an american, do you think landing here dry foot qualifies you as an american"""
"243",1,"""I really feel for you! Please tell me that you are just Scutca posting under a different screen name, and not really someone that has suchlow self esteemthat you idolise 'their' intelligence?"""
"244",1,"""Really? You're blaming the construction worker? You are a monday morning quarterback douche. """
"246",1,"""NBA refs need to get off their high horses... Fuckingggg scum"""
"249",1,"""SDJammer - You are a true American idiot..."""
"251",1,"""So which village in uganda are you its idiot? probably kampala."""
"252",1,"""You promised to lick my ass until my roids bleed. So what happened are you still stuck with your daddy's ball up your ass?"""
"254",1,"""How about you shut the fuck up? If this was a seriously depressed person, he would have tried to kill himself already. Your comments are always crappy and full of negativity. Stop."""
"255",1,"""You are a cocky little f a g so it will be extra sweet when the devils win the cup...again by the way."""
"259",1,"""Ur fat and gay"""
"262",1,"""That fatass goober let a rapist out of prison so he could rape again, and this time murder all of the witnesses. Fuck you Huckabee."""
"265",1,"""Mock horror as in ""you didn't build that"" or that anyone should dare ask to tax returns from a presidential candidate?  Please Jennifer, put away the pom poms and try to develop a sliver of objectivity. After all, you are supposed to be somewhat objective, if not rational. Romney has repeatedly failed to condemn the looney element in his party. He has absolutely no backbone, and apparently lacks a filter on his mouth."""
"267",1,"""You obviously know jack about basket ball. All your opinions are moot at this point"""
"268",1,"""meinsenkaye007: ha! you idiot"""
"269",1,"""Not what I was saying at all.. Who let your retarded ass out of the basement?"""
"270",1,"""Why are you posing as a Dodger fan idiot? You might want to clear your history moron. Another SKIRTS fan exposed!"""
"273",1,"""YES LETS BE MORE LIKE THOSE COUNTRIES YOU LIST  ZEIG HEIL YOU WHITE TRASH TRAILER RUBBISH"""
"276",1,"""You are totally delusional.....  """
"279",1,"""That's funny because, while you were mouthing off, you clearly demonstrated your inability to spell it. But that's to be expected of libtards who exist sans clue."""
"280",1,"""NAHH I AM NOT LIKE THIS YOU'RE JUST PUSSY ASS CRACKER....STFU FAG! """
"286",1,"""lol you act like you have been watching basketball forever, its only ben 8 years moron """
"287",1,"""Traitor...you are banished """
"288",1,"""Shame on you for using a sock puppet troll account."""
"289",1,"""Louie would probably tell you to kill yourself...."""
"292",1,"""Who the hell died and left you boss? Shut up you whiny ho."""
"293",1,"""are you working for the zimermans, amy? take your scam posts elsewhere."""
"295",1,"""I keep forgetting how profoundly stupid this woman is until she opens her mouth. Or in this case, gets a hold of a keyboard."""
"296",1,"""You are a moron. Get off the guys dick"""
"298",1,"""Firstly, go back to skool, you really need to learn how to spell before you start calling someone retarded And I'm sorry you have been sadly misinformed I chose to walk away from the drama and lies, if the locks were changed, it was a waste of time I threw my key away when I made the choice to walk away. And if you had the balls to face me, you would not have hidden like a coward when they tried to serve you. Or you would have shown up and backed your girl. """
"300",1,"""The Knicks? WTF are you smoking """
"304",1,"""Hey, Einstein, perhaps you should have read and understood what you quoted, since it clearly outlines a war room to blunt any movement post-DNC, not during.  Is it really shocking that the GOP would have a war room in NC, a swing state?   Reading is fundamental. """
"305",1,"""@Akolak284 <<-------------------------- Are you back on Prozac ??"""
"307",1,"""were higher than you! are you stupid"""
"308",1,"""Lol.......Ralph you are the guys who are still in Moi era..."""
"309",1,"""you're a moron! """
"310",1,"""Fuck u Minier """
"314",1,"""Just because everyone dies does not mean that your gains are offset by another's losses.  You are confused. Another does not have to ""lose"" for you to ""win"" something in life.  What a pathetic little world you live in if you think that is the case.  """
"315",1,"""mikefromaz5411 - joe, thats because your a loser, you come on here spouting your big mouth like you KNOW something, and you dont know nanda! you said there would ONLY be 1 rb taken in the first rd of the draft there were 3  you moron!!!  Joe's the loser?  Joe's the one who spouts off?  Joe's the one that only pretends to know football?  And then you go off about how he can't read the FOs' minds?  You, sir, are half a plum short of a fruit pie."""
"316",1,"""You are a Neanderthal."""
"317",1,"""your face resembles a bitch you fuckin twat """
"319",1,"""You are a fucking loon. Seriously. You really come across as someone with mental illness. No emoticons. I think you are seriously unhinged and you need some help.  Whoever hurt you, or whatever happened you need to get that addressed, because frank,y, your behavior suggest we will read about you in some mass shooting.   And yes, you indeed hate men. In almost every thread I have seen of yours, you just go ballistic toward men n general.   Get help.   Seriously."""
"320",1,"""You moron."""
"321",1,"""How creative "" maggot"", you are too funny. I suggest reading some books to expand your vocabulary. Have a wonderful day red leg."""
"322",1,"""What was your excuse for Arab terror long before the settlement excuse?Centuries ago? Which borders do Hamas , their elected govt.,accept in return for peace? Which borders do Fatah maps show as Israel? What do they teach their children? You are a bunch of lying terrorists who teach genocide not peace.  """
"325",1,"""dude you're an idiot.. Alabama didn't play WKU"""
"326",1,"""Shitbagger, go fuck your mother up the ass without lube."""
"327",1,"""You got pathetic and troll right. Two outta three ain't bad."""
"329",1,"""you must be a dumbass nigga your opinion dose not matter here whogives two fucks about your thoughts on NAS HE ISTHE TRUTH NIGGA GO KILL YO SELF AND SLAP YOUR MOM FOR RAISING A IGNORANT FUCK AS YOURSELF HOE!"""
"330",1,"""Apparently, bad officiating never gets old to you morons."""
"333",1,"""You sir. Are re.tarded."""
"334",1,"""You're a gay transvestite, clearly in the middle of yet another ho mo sex u al panic."""
"336",1,"""You forget to like your posts... You must be shook up a bit..."""
"337",1,"""your all mostly worthless shit cause your arguing overreligionon the internet and itdoesn'tevenexistgrow a pair and go out meet people stop going on like you all know whats going on when really you got your head stuck your own ass reading thisrealizethere is no god hes just aChinesewhisper"""
"338",1,"""zero help, the SHAQ DADDY zero help???? you are an imbecile"""
"340",1,"""<div class=""forum-item forum-reply""><div class=""forum-item-description"">1:44am on a Friday night..... wow <br><br>seriously get a life or girlfriend you are pathetic <br><br></div></div>"""
"341",1,"""And those from your north are the saints that must live? A demented and stupid fellow like you liked this shit you posted as comment."""
"344",1,"""You Suck Coffey"""
"345",1,"""you tool. this story is about charity and then you come in ""herp a derp.... cubs suck... derp....curse... go sox!"" screw off idiot"""
"346",1,"""God, you're as bad of an a-hole and FUD-spreader as the person you are responding to..."""
"347",1,"""Have you ever been though a hurricane moron? Its a lot more than just ""a little rain"". I guess when you get hit with the worst case scenario you can be on your own. Good luck"""
"350",1,"""Nope.better then your common sense."""
"352",1,"""Simpler potential explanation: The ""MSM"" has no clue what the hell an <i>anarchist/situationalist collective</i> is, nor do its readers."""
"354",1,"""Are you having trouble remembering which account your signed into?"""
"357",1,"""WOW LOOKS LIKE TWO WHITE GUYS. WE NEED TO BAN ALL WHITE FOLKS FROM MIAMI. JUST LIKE YOU WANT TO BAN HIPHOP MEMORIAL DAY ON SB. THIS MUST BE OBAMA'S FAULT RIGHT. U DUMB ASSES"""
"360",1,"""When your species finally evolves, then we can talk, until then you are nothing more than a common pet."""
"366",1,"""jeff lebowski shut your dumb mouth. im 17 1/2 and just barely got done with my junior year also and ive known the kid who was driving since about 6th grade and i believe he barely turned 18. so i take offense to you calling all of us in the low desert inbred retards cus i doubt you took precalculus as a junior your high school year and i doubt u took calculus AB as a senior. get your facts straight before just getting all crazy and calling everyone special ed or retards or morons. im friends with both the driver and the girl whos still in the coma...no one 100% knows the truth yet besides the driver as of what wrong."""
"374",1,"""Celtics are still a good defensive team, you are a moron."""
"378",1,"""michigan currently has felons on their team practicing as we speak. Are you dumb?"""
"379",1,"""YOU,Both Are hOMOSexUals"""
"381",1,"""What utter nonsense you speak man!"""
"383",1,"""You really believe that, don't you?   Fucking amazing that you can tie your shoes in the morning if your synapses fire so randomly and irrationally. """
"386",1,"""Get up off your fat lazy overpaid subsidised arses and clean your own mess up. You have plenty of time on your hands."""
"387",1,"""Stop crying you PUSSE!"""
"388",1,"""Nigga go fuckin hang yourself you self loathing troll. Why the fuck are you following my comments?!? You just proved to me that you have absolutely no life! This video and the other video are 2 completely different situations, so there is no comparison. Gtfo & finish getting your GED before I violate you and use your mouth to eat my dogs shit & drink his piss. """
"392",1,"""LOL... How many times do you go to a village and treat patients with all your heart ? All of you are fucking bullshit..."""
"395",1,"""much better than being a dumbazz like you"""
"396",1,"""You're an idiot!"""
"397",1,"""Uh no. We're pointing out the colossal stupidity of women who advocate the murder of the next generation of women. But then, you're probably a liberal sexist who is only too happy to be able to use women and throw them away consequence free."""
"400",1,"""Heh, no reason to yell. All I did was state the obvious. You, sir, are a f\xfccking idiot."""
"403",1,"""seriously. get some rest you are delirious."""
"405",1,"""Your ugly """
"406",1,"""""talk about her how we wish, you are a nobody""  - and you say your closet is clean and you have morals???"""
"407",1,"""Yes, you are one sorry individual..."""
"410",1,"""shit was funny as hell blackman's the shit fuck all you haters"""
"413",1,"""You need to get laid.Doing yourself every night isn't good for the brain, as shown by your daily stupidity. I think from now I'll just ignore you, and let others show you up for the fool you are, I've got better things to do. Goodnight."""
"415",1,"""Racist?  Seriously?  How stupid are you, exactly?"""
"417",1,"""You are completely delusional."""
"418",1,"""Nacho chomping retards? Wow, how pleasant of you."""
"419",1,"""Lmao this guy is going to SUCK! All of you Giant Fg's suck too!"""
"421",1,"""Hang on, Eduardo, what's your home address? i'll come forcefully kick  your door down, take over your house, if you try and kick me out, i'll  seriously physically harm you, because as you pointed out, right to self  defence!! I hope you realise how retarded your argument is, truely!  """
"422",1,"""They're either idiots or a$$holes. If they're idiots, you can't expect them to be rational and if they're a$$holes, you can't expect them to be civil"""
"423",1,"""Or go home and kill your wife and son then yourself -Chris Benoit (white guy)"""
"424",1,"""idiot if you really believe thus"""
"428",1,"""so that's the best you've got: Dude we all do it so when we kill somebody you need to just, like, get over it. You're taking up air better used elsewhere."""
"430",1,"""I'm not in America you fool... Go eat bitch!"""
"431",1,"""Refs suck suck suck"""
"432",1,"""None. We just all are tired of your bullshit."""
"433",1,"""No back peddling. Let me repeat myself since your dumb ass got confused... ""The country's gone... It's gone!! Also,  are you calling moi, moi a dip shit?! I'm not the one buying into a covert GLAAD commercial. Dip Shit!!"""""
"438",1,"""Especially Scot Haney. Always blazoning his gayness. @Fucking:disqus@faggot:disqus"""
"439",1,"""he brain dead loser. you have no idea what you are talking about. i am everything you thought you may grow up to be. a real man. instead you ended up being a little punk who hides behind his computer. """
"442",1,"""pepole like me have an opinnin and i expressed it and i don't give a fuck what a jack ass like you gotta say about it"""
"444",1,"""Great--you're trying to silence women AGAIN with accusations of mental illness. This totally enhances your credibility as a totally-not-sexist-asshat.  Saying ""treat people with respect and go fuck yourself if you don't"" is evidence of homicidal mania? Really? I didn't know homicidal maniacs had such deep-seated respected for humanity and pro-social values.  No. Not ""men in general."" Toward ""men who devalue, mock, try to control, shame, and otherwise marginalize women."" These are NOT the same thing. I have been VERY specific in the behavior I've been calling out."""
"445",1,"""Your announcers sound like as.s holes out of what I've heard lol"""
"446",1,"""Stop Bein a house nigga with ur pale ass....u white with black features, that european blood runnin in ur veins makin u weak son"""
"447",1,"""You're both a couple of homos."""
"448",1,"""You are an emasculated second-hand phony mother Theresa. """
"456",1,"""Wow Benny, you sure like to paint with a broad brush. Talk about ignorant comments."""
"457",1,"""Funny how VZ hasn't been refining their own oil at all. It's always been foreign companies.  And funny how idiots like you suspect sabotage where none exists."""
"459",1,"""Soros monkey, crawl back in your tent"""
"464",1,"""Ignorance: lackofknowledge,learning,information. It's okay. Its not your fault for your ignorance; nor would it be your fault if you were stupid too because that is genetic."""
"466",1,"""Like your mom?"""
"469",1,"""you are insane go get help"""
"470",1,"""Rhett6... and i would NEVER say you're a troll"""
"471",1,"""Hahaha... Opicate, you're criticizing people's spelling and english writing, and you, yourself, misspell the word MISSPELL. Additionally, if I cared enough, I could point out many misplaced commas and awkward sentences in your little essays above. Stick to basketball commentary. As you just proved, nobody has perfect English."""
"472",1,"""Wow! And you got away with defamining a President! You are a total dick """
"473",1,"""How much does George Soros pay you to suck his dick?"""
"474",1,"""under your weave, your ass is ""frizzy"" so do you hate yourself ?"""
"475",1,"""Loser! Sorry I'm not a bitch and I'll just call you out on it."""
"476",1,"""You are so rude and ignorant.   """
"477",1,"""WOW you are stupid! Packers have 13 NFL Championships."""
"480",1,"""Your not paying for a logo. Its for content.  People will complain about anything.  Thats like saying my shits to brown so Ill stick it back in my ass for a different color.  WTF???"""
"482",1,"""If it has ""nothing to do with race"", why did you hurl that one out there?  You're frothing, let it go. You're only hurting your own position at this point."""
"485",1,"""You've been pwnt... again."""
"487",1,"""Well you act and talk gay and like Satan, so ergo you are a demon possessed faggot. Congratulations!"""
"488",1,"""You are replying as if you are better off than lawyers. LOL. You simply don't understand the issue so STFU. You are totally a hypocrite because you interpret the law as simple layman but your simple layman's interpretation is simply pathetic and idiotic. """
"489",1,"""Lebron sucks. If you are a stud and cant shoot over 80% from the free throw line you're trash. Can't make shots outside of 5 feet either"""
"493",1,"""Yeah. One who LOVES Obama.  You moron."""
"494",1,"""You're crazy"""
"495",1,"""shat up nobadys listening to your fat ass"""
"496",1,"""What the fuck is wrong with u retard?"""
"498",1,"""you libs really are dumb!"""
"510",1,"""This woman is a racist, a sexista biggot and a dumbmass."""
"514",1,"""You never go full retard."""
"515",1,"""what a filthy little opportunist the photographer was. YOU'RE IN COLLEGE...THINK! """
"516",1,"""Haha you really need to grow up."""
"517",1,"""you always have such great comments douch"""
"519",1,"""dude you look like an absoulte FAGGOTTTT, true heat fan """
"521",1,"""You must be on drug or welfare roll."""
"525",1,"""Go back to toplad, your kind aren't wanted here """
"527",1,"""if you were actually saying go away if you dont like it i'd completly agree with you. everyone has a right to their opinion. i didn't come to your board to shit talk it because obviously, I can read, and i wouldn't bother myself to read things that i wasn't interested in. however... it's one thing to post pics you like because hey, that's what pinterest is for. but it's another to just be a dick to everyone because YOU feel like they're attacking you and you need to defend yourself. it's just annoying to read that someone that supports intellectual thinking and behavior can't articulate their opinion well enough without saying something like ""go blow jesus""  or ""STFU"". and from what i'm reading you really don't think ANYONE who disagrees with you deserves respect. so it is what it is. """
"528",1,"""@Kinguin You'd think more would miss time with dick friction burns."""
"530",1,"""you say you believe in truth, but religion is not truth. its about as much the truth as fairytale. religion is a load of shit!!"""
"531",1,"""You are not important enough for anyone to know all that's wrong with you. I know you are a moron in your mother's basement but...."""
"532",1,"""So, are you saying your southerns can marry your cousins by gays can't? hahaha"""
"535",1,"""That's because&nbsp; you're a moron with no hockey knowledge. <br>"""
"537",1,"""If she wants any longevity she needs to shut the fuck up off the mic."""
"538",1,"""YOURE JUST MAD CAUSE YOURE POOR """
"539",1,"""Gryla, you are an idiot."""
"544",1,"""Another fantastic article from Dick Foster. Anyone who takes your writings seriously is a massive idiot."""
"545",1,"""just shut the hell up why talk shit about someone that raps better then your ass if your going to say shit about channel then dont comment fuck head go back to your piece of shit trailer back to 8 mile"""
"546",1,"""Do you have a dildo you can shove in your mouth to shut the fuck up? Little GOP whore?"""
"547",1,"""harry you even look awesome with jungle worms"""
"548",1,"""This, last night, was gorgeous. You were perfect. My cock in your face, you sucking my balls, me jacking myself off. Want. More."""
"550",1,"""You're an idiot"""
"551",1,"""Oh, i have no doubts that i can certainly be an asshole when needed.  i just choose not to sound like a dumb redneck like yourself.  Cue the deliverance music..."""
"552",1,"""What the child wants. That`s rich, Tom. Nor do I have any real assurance that people treating homosexuality as a dysfunction are sufficient improvement over child molesters, however much I might be inclined to give them benefit of the doubt over being unintended jerks. We can do better."""
"555",1,"""You hear that, Resistance, Fifa, and Littlebigplanet? FUCK YOU!"""
"556",1,"""You are a brainwashed piece of crap."""
"557",1,"""you are just a selfish...tum per allah ki laanat"""
"561",1,"""Bitch how fucking old are you?? This don't have shit to do with no teams. While silly fags like you are pulling out your hair over Sarge he's somewhere cashingchecks. Do you seriously think he gives a fuck what you think of him or tranny's?? Bitch put down the Kool-Aid and grow the fuck up."""
"562",1,"""Not looking so dopey now --- you paranoid sado"""
"564",1,"""duh.  I think I will call you duh from now on because you speak like a moron.  This is his life and his choice.  Not yours, or the fans or anyone elses.  """
"565",1,"""YMCMB=NiGGERS WITH MONEY. Dont hate thats why u aint rich fool."""
"567",1,"""First of all it's ""you're"" you fucking idiot."""
"568",1,"""Isabelle_hunt, you're all over the place. Are you some sort of internet troll? Don't you have anything better to do with your time?"""
"569",1,"""Just cause his dumb ass didn't know to stop trying to pants her....asshole....I hope she woke up and told her Brother or Father and they beat them till they passed out...."""
"571",1,"""fuck u Dawn"""
"576",1,"""Your dumb.   Oh no predators, oogie boogie.  I just don't get you. """
"579",1,"""Inside your ret.arded little brain?"""
"582",1,"""Fucking idiot. """
"583",1,"""Nobody ""sube due"" your mother and she is a big lip watermelon eatin Baboon"""
"584",1,"""so now you denying your an eagles fan? Right you talk about Jae as some fake when you should look in the mirror at the trailer trash you are."""
